1904Conservative	28	18	54	78	79	43	26	87	37	106	32	25	33	95	39	80	68	55	24	25	12	10	53	38	23	27	37	17	21	20	25	26	28	42	31	14	26	181	31	19	85	26	1	44	47	49	57	19	17	8	34	31	66	32	20	14	74	38	155	4	97	31	63	9	41	28	16	40	8	14	32	9	36	42	4	4	15	4	5	53	16	44	28	36	77	45	70	32	62	30	84	12	36	89	53	38	9	43	60	26	27	28	22	21	34	29	6	35	30	22	29	21	25	105	15	48	9	11	78	6	31	67																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1905Liberal	35	23	5	19	14	27	7	7	24	9	16	30	17	27	50	41	12	8	7	10	47	9	23	29	25	6	40	6	12	6	5	5	5	20	32	20	20	7	9	34	10	67	34	54	54	5	5	35	34	13	22	53	25	19	5	15	37	13	41	44	50	35	19	12	37	6	10	9	18	29	26	19	8	51	28	9	23	37	11	53	5	26	12	14	54	13	12	12	6	7	25	66	43	15	7	13	9	52	27	13	25	92	13	23	5	10	22	30	51	25	33	47	20	27	83	27	23	12	38	25	8	24	24	24	29	15	16	44	4	2	7	10	47	12	91	49	25	35	10	24	35	13	23	78	17	25	39	8	36	76	81	51	21	51	59	9	36	45	34	45	18	7	4	39	7	70	8	11	27	2	19	18	25	41	22	31	28	26	8	22	8	32	20	53	30	9	9	75	34	82	43	20	38	60	65	9	55	31	12	37	11	11	21	22	42	21	13	8	12	16	10	15	16	10	26	16	11	23	20	10	8	16	8	22	36	24	40	37	30	27	26	26	32	54	17	43	23	5	73	43	21	51	60	18	13	14	34	13	79	35																																																																																																																																																																																																																																																																																																																				
1906Conservative	53	41	11	28	49	6	5	8	22	7	36	52	26	15	34	41	32	10	22	10	20	28	7	60	37	23	51	63	66	10	56	39	11	28	9	13	93	86	54	31	8	8	29	53	40	75	6	38	17	5	6	20	20	18	79	11	60	13	16	75	57	18	37	103	8	17	11	40	5	48	39	33	14	8	26	10	59	36	35	60	17	17	33	35	10	49	30	82	2	51	7	82	46	21	7	41	14	20	25	25	49	12	5	69	36	44	30	34	85	111	7	49	11	3	11	46	36	18	48	250	75	40	28																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1907Conservative	7	17	110	88	35	146	6	89	21	13	26	8	53	107	8	6	3	12	64	198	71	5	20	16	15	14	22	33	3	89	57	13	19	9	9	26	28	68	10	78	39	50	4	4	16	6	5	27	54	78	7	106	10	27	67	94	6	7	38	6	6	55	75	78	7	47	16	24	40	8	18	46	12	53	7	27	127	10	3	33	34	61	5	14	9	48	57	43	56	6	51	12	60	57	14	26	89	26	27	24	23	26	36	4	29	57	11	79	53	85	36	19	7	14	35	41	28	20	14	44	22	6	27	5	10	3	22	78	3	53	9	62	8	30	4	11	31	50	18	66	59	3	7	43	77	29	37	38	10	13	5	49	20	28	14	20	44	18	70	9	37	22	8	49	8	43	4	38	21	44	47	8	56	57	24	18	12	4	22	68	6	4	19	28	68	26	16	2	28	17	6	7	8	45	67	10	21	37	45	64	79	7	68	9	33	53	28	61	31	176																																																																																																																																																																																																																																																																																																																																																												
1907Liberal	18	21	24	79	11	39	26	32	44	19	39	7	8	21	20	16	48	36	18	41	14	26	48	14	9	15	12	48	47	52	23	38	42	69	23	27	25	15	49	40	9	31	8	22	106	51	43	21	36	5	53	27	25	18	34	1	7	4	57	13	5	42	43	49	54	27	20	33	27	13	34	59	68	10	45	23	73	61	4	64	5	22	7	16	42	51	9	7	26	7	7	7	18	80	46	70	14	72	34	22	7	28	8	19	12	46	42	44	74	46	22	16	32	15	29	52	94	68	37	16	6	62	43	9	41	34	9	10	47	52	44	15	33	9	18	55	15	33	86	51	40	14	47	59	46																																																																																																																																																																																																																																																																																																																																																																																																																													
1908Liberal	24	24	90	87	42	25	82	55	80	49	33	8	26	44	49	19	6	22	6	23	21	6	7	44	63	21	68	7	68	4	48	11	46	76	23	33	22	60	19	24	26	80	20	17	21	33	21	7	54	5	35	14	31	16	20	4	23	20	12	17	6	40	30	35	36	11	6	11	12	31	19	36	9	34	33	36	8	38	15	8	39	8	9	31	30	67	27	12	6	20	41	21	7	23	27	41	7	40	21	40	95	29	19	47	18	6	27	54	26	11	19	64	19	49	43	62	12	36	11	3	11	11	42	49	24	38	47	46	21	4	43	15	24	17	54	12	36	24	7	19	26	15	46	34	43	13	6	12	6	21	9	44	6	23	10	5	98	8	36	30	52	18	73	29	3	86	49																																																																																																																																																																																																																																																																																																																																																																																																							
1908Conservative	44	44	21	53	5	11	46	57	15	20	88	70	8	39	19	8	48	156	50	42	73	16	16	36	16	22	53	89	68	32	18	29	23	11	7	6	58	5	24	14	11	58	12	10	91	20	15	10	37	30	20	85	69	13	81	140	90	32	50	77	19	65	38	55	60	61	64	1	16	4	3	29	122	8	9	40	27	7	73	76	16	6	24	8	19	6	16	5	30	60	8	51	18	36	35	65	17	12	58	27	6	35	22	19	36	5	24	16	26	31	49	44	32	35	32	35	51	10	41	38	42	13	7	53	10	16	23	14	26	16	11	6	56	74	14	44	10	41	18	54	4	59	8	44	26	141	17	69	26	12	32	25	28	325	176	9	6	138																																																																																																																																																																																																																																																																																																																																																																																																																
1909Liberal	13	21	51	85	28	86	46	27	19	59	44	31	22	55	19	11	53	33	28	92	25	29	19	47	27	73	45	18	19	53	31	23	18	27	58	27	9	32	28	31	30	46	33	35	37	18	33	30	47	38	20	106	47	45	3	35	22	85	52	52	8	20	19	7	93	32	6	29	46	89	15	10	17	9	39	27	8	8	42	32	41	32	24	15	71	65	14	21	43	56	43	63	31	43	101	37	30	56	17	51	17	22	8	29	43	121	46	46	11	42	43	41	33	15	13	28	38	25	3	7	25	15	57	38	33	33	32	35	44	58	5	31	51	45	7	23	6	64	25	23	5	6	6	32	28	50	24	22	7	12	16	60	13	40	72																																																																																																																																																																																																																																																																																																																																																																																																																			
1909Conservative	7	38	45	28	21	34	19	27	9	59	86	27	12	20	40	49	71	3	10	36	91	4	10	73	43	35	22	20	39	4	9	52	29	27	32	11	12	32	6	32	5	6	4	40	3	20	32	10	70	99	8	10	29	33	8	62	66	56	11	19	10	48	14	23	7	33	23	47	4	90	38	7	11	26	24	7	11	42	24	25	42	13	61	9	4	5	58	4	74	38	35	71	40	21	41	8	111	12	41	13	75	23	74	113	30	8	22	24	56	23	9	26	10	49	20	17	38	38	57	23	16	14	15	26	17	42	20	12	10	36	22	16	24	19	17	29	24	17	75	10	33	47	16	13	40	31	87	23	29	8	29	44	33	34	47	15	12	38	69	16	8	28	11	4	13	24	5	6	40	39	45	38	29	21	6	25	28	42	15	17	40	10	23	72	32	65	53	15	7	9	61	43	14	9	11	19	12	7	14	15	52	15	51	30	51	22	5	26	15	15	13	13	6	43	5	22	10	55	4	54	7	95	10	31	6	65	33	57	91	12	51	3	4	21	12	73	157	22	79																																																																																																																																																																																																																																																																																																																															
1910Liberal	67	27	32	26	18	8	53	25	32	12	7	85	25	4	28	19	49	28	26	48	13	4	62	42	8	57	6	9	79	71	6	11	53	6	32	79	81	45	12	41	31	28	6	13	20	19	82	3	64	43	31	9	7	54	14	40	11	36	13	64	27	28	30	24	25	9	23	13	19	4	54	12	36	55	56	6	55	87	34	32	36	50	20	24	39	6	16	15	10	50	18	12	80	25	55	6	10	25	59	15	11	13	20	12	39	5	5	5	20	41	5	29	21	6	5	7	24	9	10	8	27	10	2	16	6	13	29	15	22	21	39	21	9	62	47	33	71	18	6	2	6	39	34	57	68	15	29	14	35	28	90	41	10	38	31	59	21	8	13	27	46	27	8	20	35	17	22	20	38	10	77	74																																																																																																																																																																																																																																																																																																																																																																																																		
